Time,data
1654044093.6573768,24
1654044093.8630812,24
1654044094.055207,24
1654044094.255248,24
1654044094.4521382,24
1654044094.6551917,24
1654044094.8644733,24
1654044095.0616257,24
1654044095.2621536,24
1654044095.4560475,24
1654044095.6569827,24
1654044095.8679597,24
1654044096.0625968,24
1654044096.2630177,24
1654044096.4568691,24
1654044096.6600895,24
1654044096.864901,24
1654044097.056802,24
1654044097.2629225,24
1654044097.4616952,24
1654044097.656686,24
1654044097.8630273,24
1654044098.0576453,24
1654044098.2545137,24
1654044098.4545188,24
1654044098.6535234,24
1654044098.8604755,24
1654044099.0564847,24
1654044099.2523801,24
1654044099.4553409,24
1654044099.6553252,24
1654044099.8593607,24
1654044100.0562685,24
1654044100.25919,24
1654044100.4551866,24
1654044100.6542017,24
1654044100.8601274,24
1654044101.060238,24
1654044101.2550955,24
1654044101.4561224,24
1654044101.6521177,24
1654044101.8641336,24
1654044102.0559514,24
1654044102.252986,24
1654044102.4569297,24
1654044102.6568792,24
1654044102.8653815,24
1654044103.0546975,24
1654044103.2537663,24
1654044103.4566908,24
1654044103.6536615,24
1654044103.8627596,24
1654044104.0546083,24
1654044104.2525797,24
1654044104.454624,24
1654044104.6515245,24
1654044104.8651521,24
1654044105.062157,24
1654044105.254457,24
1654044105.4629061,24
1654044105.6563938,24
1654044105.8673642,24
1654044106.0605814,24
1654044106.2573795,24
1654044106.461864,24
1654044106.6602817,24
1654044106.8662758,24
1654044107.0618036,24
1654044107.2601445,24
1654044107.4621763,24
1654044107.6539907,24
1654044107.8652225,24
1654044108.0570354,24
1654044108.261998,24
1654044108.463855,24
1654044108.6528137,24
1654044108.8620164,24
1654044109.0578604,24
1654044109.2557983,24
1654044109.463442,24
1654044109.6546977,24
1654044109.8667877,24
1654044110.0566373,24
1654044110.2576983,24
1654044110.4575899,24
1654044110.65554,24
1654044110.865633,24
1654044111.0605211,24
1654044111.2615402,24
1654044111.46041,24
1654044111.6593647,24
1654044111.8645077,24
1654044112.0618973,24
1654044112.2573555,24
1654044112.4619129,24
1654044112.6595695,24
1654044112.8622313,24
1654044113.0551531,24
1654044113.2572289,24
1654044113.4571753,24
1654044113.660066,24
1654044113.8681002,24
1654044114.0635061,24
1654044114.2600493,24
1654044114.460324,24
1654044114.6602764,24
1654044114.864194,24
1654044115.063095,24
1654044115.2601085,24
1654044115.4617739,24
1654044115.6601198,24
1654044115.865798,24
1654044116.062806,24
1654044116.2617745,24
1654044116.4576974,24
1654044116.6577172,24
1654044116.8628235,24
1654044117.0575838,24
1654044117.2575355,24
1654044117.4544823,24
1654044117.652462,24
1654044117.86305,24
1654044118.0574617,24
1654044118.256404,24
1654044118.4542603,24
1654044118.654194,24
1654044118.8627017,24
1654044119.0562246,24
1654044119.2561455,24
1654044119.4541233,24
1654044119.660136,24
1654044119.8642476,24
1654044120.0580947,24
1654044120.256054,24
1654044120.456094,24
1654044120.6600082,24
1654044120.8635342,24
1654044121.0569286,24
1654044121.2558265,24
1654044121.4537947,25
1654044121.6600275,25
1654044121.861872,25
1654044122.053772,25
1654044122.2565558,25
1654044122.4604445,25
1654044122.6594646,25
1654044122.8656187,25
1654044123.0613751,25
1654044123.2603436,25
1654044123.4614635,25
1654044123.6573904,25
1654044123.8613193,25
1654044124.0623786,25
1654044124.2601948,25
1654044124.461199,25
1654044124.6581435,25
1654044124.8610647,25
1654044125.058114,25
1654044125.2661142,25
1654044125.4580562,25
1654044125.6570196,25
1654044125.866975,25
1654044126.0601075,25
1654044126.263943,25
1654044126.457886,25
1654044126.6578693,25
1654044126.862766,25
1654044127.05584,25
1654044127.2570288,25
1654044127.4578862,25
1654044127.6547947,25
1654044127.864018,25
1654044128.0636637,25
1654044128.2537377,25
1654044128.4567096,25
1654044128.6577923,25
1654044128.8676977,25
1654044129.0616255,25
1654044129.257547,25
1654044129.4615326,25
1654044129.6585083,25
1654044129.8664446,25
1654044130.062824,25
1654044130.2575083,25
1654044130.458418,25
1654044130.658347,25
1654044130.8663821,25
1654044131.0610921,25
1654044131.257134,25
1654044131.4580588,25
1654044131.6509688,25
1654044131.8641486,25
1654044132.0569818,25
1654044132.255907,25
1654044132.460168,25
1654044132.6517956,25
1654044132.867816,25
1654044133.062172,25
1654044133.2599502,25
1654044133.464195,25
1654044133.6557035,25
1654044133.8667316,25
1654044134.0606275,25
1654044134.263286,25
1654044134.4629188,25
1654044134.660521,25
1654044134.868525,25
1654044135.0626724,25
1654044135.2617307,25
1654044135.4616725,25
1654044135.6574478,25
1654044135.8683767,25
1654044136.057545,25
1654044136.2584605,25
1654044136.460374,25
1654044136.65748,25
1654044136.8647277,25
1654044137.0543625,25
1654044137.260242,25
1654044137.458276,25
1654044137.6562507,25
1654044137.862995,25
1654044138.0530782,25
1654044138.2613833,25
1654044138.4622808,25
1654044138.6561084,25
1654044138.8633509,25
1654044139.0520132,25
1654044139.2569792,25
1654044139.4620442,25
1654044139.6601355,25
1654044139.863277,25
1654044140.0527668,25
1654044140.2577765,25
1654044140.4608524,25
1654044140.6547818,25
1654044140.8618114,25
1654044141.054712,25
1654044141.2546356,25
1654044141.4586754,25
1654044141.6565835,25
1654044141.8685763,25
1654044142.0608776,25
1654044142.26146,25
1654044142.4575226,25
1654044142.6613822,25
1654044142.8684554,25
1654044143.0613406,25
1654044143.2606113,25
1654044143.4582973,25
1654044143.6605814,25
1654044143.8671794,25
1654044144.060512,25
1654044144.2616436,25
1654044144.4551013,25
1654044144.6580744,25
1654044144.8662887,25
1654044145.0633469,25
1654044145.2560923,25
1654044145.453953,25
1654044145.6578922,25
1654044145.8645618,25
1654044146.062016,25
1654044146.2618113,25
1654044146.4607885,25
1654044146.6618826,25
1654044146.8640506,25
1654044147.057699,25
1654044147.2586932,25
1654044147.460572,25
1654044147.660549,25
1654044147.8638296,25
1654044148.0586395,25
1654044148.2616146,25
1654044148.4583564,25
1654044148.6573493,25
1654044148.8624606,25
1654044149.0614865,25
1654044149.2612004,25
1654044149.4572206,25
1654044149.6561387,25
1654044149.8632982,25
1654044150.0602202,25
1654044150.258077,25
1654044150.4613564,25
1654044150.6632614,25
1654044150.8640382,25
1654044151.0619192,25
1654044151.2608259,25
1654044151.4618652,25
1654044151.6621983,25
1654044151.8667283,25
1654044152.0577104,25
1654044152.2557123,25
1654044152.4617014,25
1654044152.6629636,25
1654044152.8676107,25
1654044153.0616252,25
1654044153.260691,25
1654044153.4632866,25
1654044153.6577756,25
1654044153.8638446,25
1654044154.0565262,25
1654044154.255577,25
1654044154.456495,25
1654044154.6534882,25
1654044154.863198,25
1654044155.057514,25
1654044155.2583675,25
1654044155.4564915,25
1654044155.6553323,25
1654044155.866334,25
1654044156.058287,25
1654044156.2573118,25
1654044156.4562154,25
1654044156.6572795,25
1654044156.864529,25
1654044157.0624003,25
1654044157.264496,25
1654044157.4620097,25
1654044157.6550403,25
1654044157.8660483,25
1654044158.0636902,25
1654044158.2631903,25
1654044158.4588878,25
1654044158.6569793,25
1654044158.8687305,25
1654044159.0586104,25
1654044159.2631745,25
1654044159.4632924,25
1654044159.660678,25
1654044159.8685248,25
1654044160.061657,25
1654044160.2574894,25
1654044160.4583905,25
1654044160.6573884,25
1654044160.8625124,25
1654044161.0552602,25
1654044161.2573268,25
1654044161.4562469,25
1654044161.6542084,25
1654044161.8622563,25
1654044162.0561213,25
1654044162.2581964,25
1654044162.4622767,25
1654044162.6602893,25
1654044162.8680577,25
1654044163.0570753,25
1654044163.2641304,25
1654044163.4608457,25
1654044163.6619415,25
1654044163.8669596,25
1654044164.0560122,25
1654044164.2626476,25
1654044164.4609077,25
1654044164.6609223,25
1654044164.8678594,25
1654044165.0608068,25
1654044165.2578824,25
1654044165.458769,25
1654044165.6577425,25
1654044165.8688736,25
1654044166.0628011,25
1654044166.2605505,25
1654044166.45661,25
1654044166.6640806,25
1654044166.8676138,25
1654044167.0609622,25
1654044167.2621233,25
1654044167.4584546,25
1654044167.6626778,25
1654044167.8674016,25
1654044168.0583842,25
1654044168.2612238,25
1654044168.4553056,25
1654044168.6563134,25
1654044168.8662803,25
1654044169.0637767,25
1654044169.2615578,25
1654044169.4581985,25
1654044169.65612,25
1654044169.8634815,25
1654044170.0570204,25
1654044170.2550852,25
1654044170.4631307,25
1654044170.6549633,25
1654044170.8624003,25
1654044171.0578885,25
1654044171.2618127,25
1654044171.465837,25
1654044171.658746,25
1654044171.8649156,25
1654044172.0609663,25
1654044172.2577107,25
1654044172.461653,25
1654044172.6586423,25
1654044172.8655927,25
1654044173.0607362,25
1654044173.2618608,25
1654044173.46191,25
1654044173.6643927,25
1654044173.865644,25
1654044174.0606952,25
1654044174.2623117,25
1654044174.4584036,25
1654044174.6564224,25
1654044174.8641262,25
1654044175.062215,25
1654044175.2623272,25
1654044175.461153,25
1654044175.6591454,25
1654044175.8680453,25
1654044176.0641582,25
1654044176.2590106,25
1654044176.4610596,25
1654044176.6609976,25
1654044176.868941,25
1654044177.0645206,25
1654044177.260899,25
1654044177.4627645,25
1654044177.6607938,25
1654044177.8669116,25
1654044178.0639017,25
1654044178.2577577,25
1654044178.4566317,25
1654044178.6556122,25
1654044178.8666887,25
1654044179.0585718,25
1654044179.256563,25
1654044179.4576273,25
1654044179.6631863,25
1654044179.866491,25
1654044180.0613487,25
1654044180.2584205,25
1654044180.458384,25
1654044180.6552517,25
1654044180.866547,25
1654044181.0624397,25
1654044181.2583146,25
1654044181.4582586,25
1654044181.6590652,25
1654044181.8652778,25
1654044182.0621188,25
1654044182.2551172,25
1654044182.458038,25
1654044182.6589677,25
1654044182.862131,25
1654044183.0589175,25
1654044183.2569504,25
1654044183.4548814,25
1654044183.6548624,25
1654044183.863269,25
1654044184.0557206,25
1654044184.2558014,25
1654044184.4617105,25
1654044184.652598,25
1654044184.863718,25
1654044185.0536191,25
1654044185.254498,25
1654044185.4616013,25
1654044185.6534817,25
1654044185.8648698,25
1654044186.053238,25
1654044186.2551925,25
1654044186.4612188,25
1654044186.6561992,25
1654044186.8645842,25
1654044187.0581293,25
1654044187.2612748,25
1654044187.463427,25
1654044187.6637552,25
1654044187.8690722,25
1654044188.0549095,25
