Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pressure.data,temperature.data,depth.data
1654044174.1012237,1583,1654044174,100077629,,102846.6618252526,28.73951985359192,0.15819018447383212
1654044174.301213,1584,1654044174,300127029,,102843.21442736272,28.740280076265336,0.1578375899381359
1654044174.500617,1585,1654044174,499895095,,102848.40849925207,28.744048136472703,0.15836883159479975
1654044174.7015107,1586,1654044174,700160264,,102847.94467785145,28.741436936855315,0.1583213926577757
1654044174.9008718,1587,1654044174,900133609,,102848.63454097246,28.746725442409517,0.15839195079310422
1654044175.1020982,1588,1654044175,100178956,,102846.72222729248,28.7450066781044,0.15819636230125164
1654044175.3016489,1589,1654044175,300170660,,102846.0328357111,28.747518718242645,0.15812585239426777
1654044175.5007088,1590,1654044175,499755382,,102845.98189392732,28.748675578832625,0.1581206421472434
1654044175.700935,1591,1654044175,700095891,,102846.62315033766,28.749733279943467,0.15818622886322103
1654044175.9012074,1592,1654044175,900151252,,102850.25064409355,28.758029623031618,0.15855724332614574
1654044176.101245,1593,1654044176,100072145,,102848.67244719819,28.757104134559633,0.1583958277833697
1654044176.3013818,1594,1654044176,300078153,,102849.38338656712,28.758294048309327,0.15846854156480839
1654044176.5010197,1595,1654044176,500021934,,102849.16674461722,28.758260995149612,0.1584463837605234
1654044176.7009735,1596,1654044176,700034141,,102850.47111611278,28.759880599975585,0.1585797928640104
1654044176.901441,1597,1654044176,900143623,,102850.74532300846,28.76298759698868,0.1586078383221089
1654044177.101261,1598,1654044177,100049972,,102847.31853408481,28.763846979141235,0.1582573516396716
1654044177.3008766,1599,1654044177,300040721,,102846.46234628098,28.76576406240463,0.158169782072478
1654044177.5014,1600,1654044177,500124692,,102847.16252479893,28.76910243153572,0.1582413952506854
1654044177.701253,1601,1654044177,700042963,,102851.69686058746,28.77052371740341,0.15870516011714966
1654044177.9009414,1602,1654044177,900049448,,102848.00483514745,28.77111867427826,0.15832754545316793
1654044178.1030078,1603,1654044178,100093364,,102853.72608166584,28.773399342298507,0.15891270571728422
1654044178.3013794,1604,1654044178,300137758,,102851.2070568921,28.774787575006485,0.1586550637511188
1654044178.5010448,1605,1654044178,500082731,,102850.59281438519,28.774258724451066,0.15859223997549207
1654044178.7012408,1606,1654044178,700040102,,102848.45744915248,28.780076080560683,0.15837383811506855
1654044178.9015596,1607,1654044178,900406122,,102848.86581646174,28.778423422574996,0.1584156052932126
1654044179.1012614,1608,1654044179,100325107,,102849.32021288107,28.782389801740646,0.15846208025769692
1654044179.3005717,1609,1654044179,299788951,,102850.34592183861,28.7834805560112,0.1585669881868651
1654044179.5007923,1610,1654044179,500117778,,102854.36838892027,28.785860383510588,0.1589783999119736
1654044179.700897,1611,1654044179,699836492,,102851.80803480418,28.786851978302003,0.15871653084445772
1654044179.9007757,1612,1654044179,899974107,,102849.42966206495,28.78771136045456,0.1584732745513086
1654044180.1007657,1613,1654044180,100069522,,102852.49959525035,28.787149456739424,0.1587872625795843
1654044180.3028526,1614,1654044180,300103425,,102855.09284045633,28.791314154863358,0.159052495697013
1654044180.500903,1615,1654044180,500013828,,102853.52456747799,28.79263628125191,0.15889209515715416
1654044180.7017548,1616,1654044180,700197219,,102848.42113916739,28.792702387571335,0.15837012438583142
1654044180.9012842,1617,1654044180,900195837,,102852.99272414182,28.79690013885498,0.15883769904154182
1654044181.1010647,1618,1654044181,100072860,,102853.25238060237,28.796338235139846,0.15886425630359052
1654044181.3020678,1619,1654044181,299944639,,102852.07605739479,28.801329262256623,0.1587439437813772
1654044181.5012684,1620,1654044181,500091791,,102853.57259354484,28.801064836978913,0.15889700718915198
1654044181.7018337,1621,1654044181,700077056,,102852.33455427944,28.8053617477417,0.1587703824437926
1654044181.9016056,1622,1654044181,900550842,,102850.26320499432,28.806485555171967,0.15855852803569048
1654044182.1012917,1623,1654044182,100145816,,102850.90202103177,28.808931488990783,0.1586238651540953
1654044182.3009186,1624,1654044182,300129175,,102851.50936184173,28.80942728638649,0.15868598303480957
1654044182.5008912,1625,1654044182,499948978,,102854.14917552861,28.811013838052748,0.1589559791045943
1654044182.7019854,1626,1654044182,700038194,,102850.5182779702,28.808501797914506,0.1585846165060012
1654044182.9007738,1627,1654044182,899890661,,102854.77414403875,28.81339366555214,0.15901989991927695
1654044183.1011903,1628,1654044183,100106477,,102852.5365837338,28.81752531051636,0.15879104570458616
1654044183.3009443,1629,1654044183,300122261,,102849.16871367302,28.816467609405517,0.15844658515251137
1654044183.500601,1630,1654044183,499842166,,102850.33790057624,28.819442393779756,0.15856616778452912
1654044183.7008374,1631,1654044183,699822187,,102852.8766119668,28.81894659638405,0.15882582326748051
1654044183.9009507,1632,1654044183,899795293,,102853.13895816698,28.828598119020462,0.15885265563194753
1654044184.101054,1633,1654044184,100074529,,102853.47703824473,28.827209886312485,0.15888723394053014
1654044184.3011723,1634,1654044184,300179481,,102852.42868897192,28.8270115673542,0.15878001039485845
1654044184.5014684,1635,1654044184,500155448,,102850.88139340974,28.82823453426361,0.15862175539274967
1654044184.7009885,1636,1654044184,700156688,,102853.88404293056,28.83415104985237,0.1589288617516529
1654044184.9010725,1637,1654044184,899945020,,102851.95475268306,28.83395273089409,0.15873153692267447
1654044185.100689,1638,1654044185,99703550,,102852.83867500175,28.836167292594908,0.15882194313324483
1654044185.3009624,1639,1654044185,299941778,,102852.56725922048,28.83547317624092,0.1587941831460209
1654044185.5017626,1640,1654044185,500132083,,102850.38267954293,28.837258046865465,0.15857074770813376
1654044185.7008915,1641,1654044185,699890851,,102854.7028624852,28.84145579814911,0.1590126093519908
1654044185.9009256,1642,1654044185,900028467,,102855.17181609433,28.837291100025176,0.1590605732033816
1654044186.1002471,1643,1654044186,98787069,,102854.31109444937,28.841588010787962,0.1589725399219145
1654044186.299435,1644,1654044186,298890352,,102850.84350367764,28.84145579814911,0.1586178800894263
1654044186.499523,1645,1654044186,498779535,,102850.31210608226,28.845323017835618,0.15856352956349426
1654044186.699355,1646,1654044186,698807477,,102852.7218870085,28.846612091064454,0.15880999823753816
1654044186.900655,1647,1654044186,898783683,,102854.95181147226,28.84684346318245,0.15903807147017673
1654044187.099469,1648,1654044187,98788261,,102854.9992570341,28.847669792175292,0.15904292412901733
