Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1654044197.7026336,341,1654044197,700188369,,True,False,False,True,POSCTL,3
1654044198.702383,342,1654044198,701039350,,True,False,False,True,POSCTL,3
1654044199.6994078,343,1654044199,698884849,,True,False,False,True,POSCTL,3
1654044200.6991506,344,1654044200,698661812,,True,False,False,True,POSCTL,3
1654044201.702666,345,1654044201,701900070,,True,False,False,True,POSCTL,3
1654044202.701069,346,1654044202,700373274,,True,False,False,True,POSCTL,3
1654044203.6989658,347,1654044203,698233051,,True,False,False,True,POSCTL,3
1654044204.6996439,348,1654044204,699032902,,True,False,False,True,POSCTL,3
1654044205.700914,349,1654044205,699889383,,True,False,False,True,POSCTL,3
1654044206.7017243,350,1654044206,700200419,,True,True,False,True,POSCTL,4
1654044207.7023895,351,1654044207,700743011,,True,True,False,True,POSCTL,4
1654044208.7015615,352,1654044208,700435159,,True,True,False,True,POSCTL,4
1654044209.6988328,353,1654044209,698227621,,True,True,False,True,POSCTL,4
1654044210.7010298,354,1654044210,700201528,,True,True,False,True,POSCTL,4
1654044211.7004778,355,1654044211,700008602,,True,True,False,True,POSCTL,8
1654044212.7019875,356,1654044212,701543619,,True,True,False,True,POSCTL,8
1654044213.7009666,357,1654044213,700640563,,True,True,False,True,POSCTL,8
1654044214.6987493,358,1654044214,698402415,,True,True,False,True,POSCTL,8
1654044215.7016559,359,1654044215,701272136,,True,True,False,True,POSCTL,8
1654044216.6999,360,1654044216,699174228,,True,False,False,True,POSCTL,8
1654044217.7004468,361,1654044217,699944913,,True,False,False,True,POSCTL,3
1654044218.7024548,362,1654044218,701469727,,True,False,False,True,POSCTL,3
1654044219.701964,363,1654044219,701233763,,True,False,False,True,POSCTL,3
1654044220.7018478,364,1654044220,700507152,,True,False,False,True,POSCTL,3
1654044221.7013056,365,1654044221,700396022,,True,False,False,True,POSCTL,3
1654044222.7025876,366,1654044222,701559558,,True,False,False,True,POSCTL,3
1654044223.701369,367,1654044223,700995002,,True,False,False,True,POSCTL,3
1654044224.6992078,368,1654044224,698809909,,True,False,False,True,POSCTL,3
1654044225.6989436,369,1654044225,698634056,,True,False,False,True,POSCTL,3
1654044226.7000191,370,1654044226,699528944,,True,False,False,True,POSCTL,3
1654044227.699838,371,1654044227,699340962,,True,False,False,True,POSCTL,3
1654044228.6999063,372,1654044228,699241573,,True,False,False,True,POSCTL,3
